Halal,NAME,BSE-ID,NSECode,Industry,More
no,ARO GRANITE INDUSTRIES LTD.,AROGRANITE,AROGRANITE,Miscellaneous,More
no,AROMA ENTERPRISES (INDIA) LTD.,AROMAENT,,Trading,More
yes,ARROW GREENTECH LTD,ARROWGREEN,ARROWGREEN,Plastics Products,More
no,ARSHIYA LIMITED,ARSHIYA,ARSHIYA,Miscellaneous,More
no,ARSS INFRASTRUCTURE PROJECTS LTD.,ARSSINFRA,ARSSINFRA,Construction,More
yes,ART NIRMAN LTD,,ARTNIRMAN,Construction,More
no,ARTEFACT PROJECTS LTD.,ARTEFACT,,Engineering - Turnkey Services,More
yes,ARTEMIS ELECTRICALS LTD,ARTEMISELC,,Electric Equipment,More
yes,ARTEMIS MEDICARE SERVICES LTD,ARTEMISMED,ARTEMISMED,Healthcare,More
yes,ARTSON ENGINEERING LTD.,ARTSONEN,,Engineering - Turnkey Services,More
no,ARUNA HOTELS LTD.,ARUNAHTEL,,Hotels,More
no,ARUNIS ABODE LTD,ARUNIS,,Finance & Investments,More
no,ARUNJYOTI BIO VENTURES LTD,ABVL,,Trading,More
yes,ARVEE LABORAT.,,ARVEE,Pharmaceuticals - Indian - Formulations,More
yes,ARVIND AND COMPANY SHIPPING AGENCIES LIMITED,,ACSAL,Shipping,More
no,ARVIND FASHIONS LTD,ARVINDFASN,ARVINDFASN,Trading,More
no,ARVIND LTD.,ARVIND,ARVIND,Textiles - Cotton/Blended,More
yes,ARVIND SMARTSPACES LTD,ARVSMART,ARVSMART,Construction,More
no,ARYAMAN FINANCIAL SERVICES LTD.,ARYAMAN,,Finance & Investments,More
no,ARYAN SHARE AND STOCK BROKERS LTD,ARYAN,,Finance & Investments,More
yes,ASAHI INDIA GLASS LTD.,ASAHIINDIA,ASAHIINDIA,Glass & Glass Products,More
no,ASAHI INDUSTRIES LIMITED,ASAHIIND,,Textiles - Cotton/Blended,More
no,ASAHI SONGWON COLORS LTD.,ASAHISONG,ASAHISONG,Dyes And Pigments,More
